"New order email sent","Neue Bestell-E-Mail wurde gesendet"
"You notified customer about invoice #%1.","Sie haben den Kunden über Rechnung #%1 benachrichtigt"
"PAY. canceled the order","PAY. - Bestellung wurde storniert"
"PAY. Uncanceled order","PAY. - Stornierung der Bestellung rückgängig gemacht"
"We cannot un-cancel this order.","Wir können diese Bestellung nicht rückgängig machen"
"Invalid return, no transactionId specified","Ungültige Rückgabe, keine Transaktions-ID angegeben"
"There was an error checking the transaction status","Es ist ein Fehler beim Überprüfen des Transaktionsstatus aufgetreten"
"Order has been made and the payment is pending.","Die Bestellung wurde aufgegeben und die Zahlung steht aus."
"Payment canceled","Zahlung storniert"
"Payment denied","Zahlung abgelehnt"
"Something went wrong, please try again later","Es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut"
"Enter your API token and SL-code first","Geben Sie zuerst Ihren API-Token und Ihre Service-ID ein"
"No","Nein"
"Yes","Ja"
"Not active, activate on My.pay.nl first","Nicht verfügbar. Sie können dies in admin.pay.nl aktivieren"
"Dutch","Niederländisch"
"English","Englisch"
"German","Deutsch"
"Italian","Italienisch"
"French","Französisch"
"Spanish","Spanisch"
"After successful payment","Nach erfolgreicher Zahlung"
"Before payment","Vor Zahlung"
"Choose your bank","Wählen Sie Ihre Bank"
"Choose the pin terminal","Wählen Sie das Pin-Terminal"
"Notice","Hinweis"
"An e-mail containing a PAY. paylink will be sent.","Eine E-Mail mit einem PAY. Zahlungslink wird gesendet."
"Valid for","Gültig für"
"days","Tage"
"Enabled","Aktiviert"
"Title","Titel"
"New Order Status","Neuer Bestellstatus"
"Payment from Applicable Countries","Zahlungen aus anwendbaren Ländern"
"Payment from Specific Countries","Zahlungen aus bestimmten Ländern"
"Instructions","Anweisungen"
"Minimum Order Total","Mindestbestellwert"
"Maximum Order Total","Maximaler Bestellwert"
"Sort Order","Sortierreihenfolge"
"Send new order email","Neue Bestell-E-Mail senden"
"Advanced","Erweitert"
"Payment option id","Zahlungsoption ID"
"Show bank selection","Bankauswahl anzeigen"
"PAY. Settings","PAY. Einstellungen"
"The id of the payment method, only change this if you are told to do so","Die ID der Zahlungsmethode, ändere dies nur, wenn dir dazu Anweisungen gegeben wurden"
"Testmode","Testmodus"
"Show bankselection","Bankauswahl anzeigen"
"API token","API token"
"Token code","Token code"
"Set order on-hold","Bestellung auf 'In Wartestellung' setzen"
"Sales location","Sales location"
"Language payment screen","Sprachauswahl Zahlungsbildschirm"
"Never cancel order","Bestellung niemals stornieren"
"Paymentmethods","Zahlungsmethoden"
"When enabled, Magento will not cancel the order when the transaction is cancelled via Pay.","Wenn diese Option aktiviert ist, wird Magento die Bestellung nicht stornieren, wenn die Transaktion über Pay abgebrochen wird."
"Always use base currency","Immer die Basiskurrency verwenden"
"Set this to yes if you always want to process payments in the base currency of this store.","Setze dies auf Ja, wenn du Zahlungen immer in der Basiskurrency dieses Geschäfts verarbeiten möchtest."
"Skip fraud detection","Betrugserkennung überspringen"
"Sometimes magento incorrectly marks an order as fraudulent. this happens more often when using different currencies. Set this to yes to skip fraud detection.","Manchmal markiert Magento eine Bestellung fälschlicherweise als betrügerisch. Dies passiert häufiger, wenn verschiedene Währungen verwendet werden. Setze dies auf Ja, um die Betrugserkennung zu überspringen."
"Get your AT-code <a target='_blank' href='https://admin.pay.nl/company/tokens'>here</a>. Not registered at PAY? Sign up <a target='_blank' href='https://www.pay.nl/en?register'>here</a>!", "Hol dir deinen AT-Code <a target='_blank' href='https://admin.pay.nl/company/tokens'>hier</a>. Noch nicht bei PAY registriert? Melde dich <a target='_blank' href='https://www.pay.nl/en?register'>hier</a> an!"
"Your API token, you can find your tokens <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>.", "Dein API-Token, du findest deine Tokens <a target='_blank' href='https://admin.pay.nl/company/tokens'>hier</a>"
"The SL-code of your sales location, you can find your sales locations  <a target='_blank' href='https://my.pay.nl/programs/programs'>here</a>.", "Der SL-Code deines Dienstes, du findest deine Dienste <a target='_blank' href='https://admin.pay.nl/programs/programs'>hier</a>"
"URL of the payment option icons. Default URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png","URL der Icons für die Zahlungsoptionen. Standard-URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png"
"Send discount tax","Rabattsteuer senden"
"Set this to NO if you have a mix of low and high vatrate products. Some pay later methods have issues when the discount has a tax amount other than the default vat categories","Setze dies auf NEIN, wenn du eine Mischung aus Produkten mit niedrigem und hohem Mehrwertsteuersatz hast. Einige spätere Zahlungsmethoden haben Probleme, wenn der Rabatt einen Steuerbetrag hat, der nicht den standardmäßigen Mehrwertsteuerkategorien entspricht"
"Paylink is only available for backorders and won't appear in the checkout","Die Zahlung per Link ist nur für Nachbestellungen verfügbar und wird nicht im Checkout angezeigt"
"Thank you for your order from ","Vielen Dank für deine Bestellung bei "
"If you have questions about your order, you can email us at","Wenn du Fragen zu deiner Bestellung hast, kannst du uns per E-Mail kontaktieren unter"
"To finish your order, click the link below","Klicken Sie auf den unten stehenden Link, um Ihre Bestellung zu bezahlen"
"PAY. paylink","PAY. Zahlungslink"
"Paylink order","Bestellungs-Zahlungslink"
"A Pay. paylink has been sent to","Ein E-Mail mit einem PAY. Zahlungslink wird gesendet an"
"Billing Info","Rechnungsadresse"
"Shipping Info","Versandadresse"
"Payment Method","Zahlungsmethode"
"Shipping Method","Versandart"
"Your Order","Ihre Bestellung"
"Placed on","Bestellt am"
"Qty","Menge"
"Items","Artikel"
"Price","Preis"
"Subtotal","Zwischensumme"
"Shipping & Handling","Versand und Bearbeitung"
"Grand Total","Gesamtbetrag"
"Offline refund","Offline-Erstattung"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Dies wird eine Offline-Rückerstattung erstellen. Um eine Online-Rückerstattung zu erstellen, öffnen Sie eine Rechnung und erstellen Sie eine Gutschrift für sie. Möchten Sie fortfahren?"
"Thank you for your purchase!","Vielen Dank für Ihren Kauf!"
"The payment has been canceled.","Die Zahlung wurde storniert."
"PAY. -Order has been shipped, but no invoice was found. Capturing the payment automatically.","PAY. -Die Bestellung wurde versandt, aber keine Rechnung wurde gefunden. Die Zahlung wird automatisch erfasst."
"On","Ein"
"On - via Wuunder","Ein – über Wuunder"
"On - via Sherpa","Ein – über Sherpa"
"Off","Aus"
"Auto capture","Automatische Erfassung"
"Automatically capture authorisation-transaction when creating the shipment for the order.","Erfasse automatisch eine Genehmigungs-Transaktion beim Erstellen der Lieferung für die Bestellung."
"PAY. - Performed auto-capture. Result: ","PAY. - Automatische Erfassung durchgeführt. Ergebnis: "
"All of them","Alle"
"Custom","Benutzerdefiniert"
"Only available with IP-Address","Nur verfügbar mit IP-Adresse"
"Add a comma between IP addresses for multiple inputs.","Fügen Sie zwischen IP-Adressen für mehrere Eingaben ein Komma hinzu."
"Only available with useragent","Nur verfügbar mit Useragent"
"Custom useragent","Benutzerdefinierter Useragent"
"Add a comma between useragents for multiple inputs.","Fügen Sie zwischen Useragents für mehrere Eingaben ein Komma hinzu."
"Show COC field","Zeige Handelsregisternummer-Feld"
"When chosen for this method the customer can additionally enter his COC before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich seine Handelsregisternummer eingeben."
"Show VAT field","Zeige USt-Nummer-Feld"
"When chosen for this method the customer can additionally enter his VAT-id before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich seine USt-IdNr. eingeben, bevor er fortfährt."
"Show Date of birth field","Zeige Geburtsdatum-Feld"
"When chosen for this method the customer can additionally enter his date of birth before continuing.","Wenn diese Methode gewählt wird, kann der Kunde zusätzlich sein Geburtsdatum eingeben, bevor er fortfährt."
"Optional","Optional"
"Required","Erforderlich"
"Optional for business customers","Optional für Geschäftskunden"
"Required for business customers","Erforderlich für Geschäftskunden"
"COC number","Handelsregisternummer"
"VAT number","USt-IdNr."
"Date of birth","Geburtsdatum"
"Invalid VAT number","Ungültige USt-IdNr."
"Enter a valid VAT number","Geben Sie eine gültige USt-IdNr. ein."
"Invalid date of birth","Ungültiges Geburtsdatum"
"Enter a valid date of birth","Geben Sie ein gültiges Geburtsdatum ein."
"Invalid COC number","Ungültige Handelsregisternummer"
"Enter a valid COC number","Geben Sie eine gültige Handelsregisternummer ein."
"Payment terms","Zahlungsbedingungen"
"You must first agree to the payment terms.","Sie müssen zuerst den Zahlungsbedingungen zustimmen."
"If you have a feature request or other ideas, let us know!","Wenn Sie einen Funktionswunsch oder andere Ideen haben, lassen Sie es uns wissen!"
"Your submission will be reviewed by our development team.","Ihr Beitrag wird von unserem Entwicklungsteam geprüft."
"If needed, we will contact you for further information via the e-mail address provided.","Falls wir weitere Informationen benötigen, werden wir Sie für weitere Informationen über die angegebene E-Mail-Adresse kontaktieren."
"Please note: this form is not for Support requests, please contact support@pay.nl for this.","Bitte beachten Sie: Dieses Formular ist nicht für Support-Anfragen. Bitte wenden Sie sich dafür an support@pay.nl."
"Email","Email"
"Message","Nachricht"
"Leave your suggestions here...","Hinterlassen Sie hier Ihre Vorschläge..."
"Sent! Thank you for your contribution.",Gesendet! Vielen Dank für Ihren Beitrag."
"Email could not be sent, please try again later.","E-Mail kann nicht gelöscht werden. Probieren Sie es später aus."
"Suggestions?","Vorschläge?"
"Pay. - Suggestions?","Pay. - Vorschläge?"
"Submit","Absenden"
"Please fill in your message.","Bitte füllen Sie Ihre Nachricht aus."
"Please fill in a valid email.","Bitte geben Sie eine gültige E-Mail-Adresse ein."
"Success","Erfolg"
"Error", "Fehler"
"PAY. - Refund initiated from Pay.","PAY. - Erstattung von Pay. initiiert"
"Set to `on` to accept refunds initiated from Pay.","Setzen Sie diese Option auf `Ein`, um von Pay. initiierte Erstattungen zu verarbeiten."
"Prefix the order description with a custom word","Stellen Sie der Bestellbeschreibung ein benutzerdefiniertes Wort voran."
"Pay: here is your","Pay.: Hier sind Sie"
"Dropdown","Runterfallen"
"List with logos","Liste der Logos"
"Token code, API token and SL-code are required","Token-Code, API token und SL-Code sind erforderlich"
"SL-code, API token or token code invalid","ServiceId, API-token of token code zijn onjuist"
"SL-code is invalid","ServiceId is onjuist"
"SL-code / API token combination invalid","SL-code / API token combinatie onjuist"
"Select whether you want to use the Pay. thank you page when transaction is pending.","Wählen Sie aus, ob Sie die Dankesseite verwenden möchten, wenn die Transaktion noch nicht abgeschlossen ist."
"You are up to date with the latest version","Sie haben die neueste Version"
"Enter your COC number","Geben Sie Ihre Handelsregisternummer ein"
"Enter your VAT number","Geben Sie Ihre USt-Nummer ein"
"We are experiencing technical issues. Please check ","Wir haben technische Probleme. Bitte überprüfen Sie "
" for the latest updates."," auf die neuesten Updates."
"You can set your failover gateway under ","Sie können Ihr failover gateway in den "
"settings","Einstellungen"
".","festlegen."
"Show company field","Firmenfeld anzeigen"
"When enabled, in case company isn't already entered, an extra field is added to the payment method for customers to enter their company name.","Wenn diese Option aktiviert ist, das Unternehmen noch nicht eingegeben ist, wird der Zahlungsmethode ein zusätzliches Feld hinzugefügt, in das Kunden ihren Firmennamen eingeben können."
"Company","Firma"
"Enter your company name","Geben Sie Ihren Firmennamen ein"
"Invalid company","Ungültiger firma"
"Enter a valid company name","Geben Sie einen gültigen Firmennamen ein"
"Payment location","Pin-Moment"
"Pay by card","Jetzt pinnen"
"Pay later, at pickup","PIN bei der Abholung im Geschäft"
"Setting for where the payment should take place: instant, or at pickup location. Or provide this choice in the checkout.","Ermöglichen Sie den Kunden, bei der Abholung der Bestellung im Geschäft zu bezahlen. In der Bestellansicht wird ein Pin-Button angezeigt."
"PAY.: Payment at pick-up","Pay.: Die Bestellung wurde zum Zeitpunkt der Abholung im Geschäft zur Zahlung erstellt"
"Directly payment initialization(default)","Nur Direktzahlungsoption bereitstellen (Standard)"
"Let payment take place at the pickup location, only create a backorder","Verwenden Sie die Zahlung nur, wenn die Abholung im Geschäft ausgewählt ist"
"Show a selection for the checkout-user to choose between direct payment or payment at location","Bieten Sie dem Kunden eine Option"
"Follow payment method","Follow payment method"
"This will ensure the order is updated with the actual payment method used to complete the order. This can differ from the payment method initially selected","Dadurch wird sichergestellt, dass die Bestellung mit der tatsächlichen Zahlungsmethode aktualisiert wird, die zum Abschluss der Bestellung verwendet wurde. Diese kann von der ursprünglich gewählten Zahlungsart abweichen"
"PAY.: Updated payment method from %1 to %2","PAY.: Zahlungsmethode geändert von %1 bis %2"
"Don't show at payment method.":"Bei Zahlungsmethode nicht anzeigen."
"Show DOB field at method, but leave it optional.":"Zeigen Sie das Feld Geburtsdatum bei der Methode an, aber lassen Sie es optional."
"Show DOB field at method, make it required.":"Zeigen Sie das Feld Geburtsdatum bei der Methode an, machen Sie es erforderlich."
"Don't show DOB field at method, but set as required. Use DOB field from checkout instead.":"Das Feld für das Geburtsdatum bei der Methode nicht anzeigen, aber als erforderlich festlegen. Verwenden Sie stattdessen das Feld für das Geburtsdatum an der Checkout."
"Show COC field at method, but leave it optional.":"Zeigen Sie das Handelsregisternummer-Feld bei der Methode an, aber lassen Sie es optional."
"Show COC field at method, make it required.":"Zeigen Sie das Handelsregisternummer-Feld bei der Methode an, machen Sie es erforderlich."
"Don't show COC field at method, but set as required. Use COC field from checkout instead.":"Handelsregisternummer-Feld bei der Methode nicht anzeigen, aber als erforderlich festlegen. Verwenden Sie stattdessen das Handelsregisternummer-Feld aus dem Checkout."
"Show VAT field at method, but leave it optional.":"Zeigen Sie das USt-IdNr-Feld bei der Methode an, aber lassen Sie es optional."
"Show VAT field at method, make it required.":"Zeigen Sie das USt-IdNr-Feld bei der Methode an, machen Sie es erforderlich.."
"Don't show VAT field at method, but set as required. Use VAT field from checkout instead.":"USt-IdNr-Feld bei der Methode nicht anzeigen, aber als erforderlich festlegen. Verwenden Sie stattdessen das USt-IdNr-Feld aus dem Checkout."
"When Enabled, this will add an extra field to the payment method for the customer to enter in their COC number. You can also choose to make the COC number required for this method by using the 4th option. This will require you to enable the 'Show custom COC field' setting in the 'Settings' tab, which adds the COC field to the checkout itself.","Wenn diese Option aktiviert ist, wird der Zahlungsmethode ein zusätzliches Feld hinzugefügt, in das der Kunde seine Handelsregisternummer-Nummer eingeben kann. Sie können auch festlegen, dass die Handelsregisternummer-Nummer für diese Methode erforderlich ist, indem Sie die vierte Option verwenden. Dazu müssen Sie die Einstellung "Benutzerdefiniertes Handelsregisternummer-Feld anzeigen" auf der Registerkarte "Einstellungen" aktivieren, wodurch das Handelsregisternummer-Feld zur checkout hinzugefügt wird."
"When Enabled, this will add an extra field to the payment method for the customer to enter in their VAT number. You can also choose to make the VAT number required for this method by using the 4th option. This will require you to enable the 'Show custom VAT field' setting in the 'Settings' tab, which adds the VAT field to the checkout itself.","Wenn diese Option aktiviert ist, wird der Zahlungsmethode ein zusätzliches Feld hinzugefügt, in das der Kunde seine USt-IdNr-Nummer eingeben kann. Sie können auch festlegen, dass die USt-IdNr-Nummer für diese Methode erforderlich ist, indem Sie die vierte Option verwenden. Dazu müssen Sie die Einstellung "Benutzerdefiniertes USt-IdNr-Feld anzeigen" auf der Registerkarte "Einstellungen" aktivieren, wodurch das USt-IdNr-Feld zur checkout hinzugefügt wird."
"When Enabled, this will add an datepicker field to the payment method for the customer to enter in their date of birth. You can also choose to make this required for this method by using the 4th option. This will require you to enable the 'Show custom DOB field' setting in the 'Settings' tab, which adds the date of birth field to the checkout itself.","Wenn diese Option aktiviert ist, wird der Zahlungsmethode ein Datumsauswahlfeld hinzugefügt, in das der Kunde sein Geburtsdatum eingeben kann. Sie können auch festlegen, dass dies für diese Methode erforderlich ist, indem Sie die vierte Option verwenden. Dazu müssen Sie die Einstellung "Benutzerdefiniertes Geburtsdatum-Feld anzeigen" auf der Registerkarte "Einstellungen" aktivieren, wodurch das Feld für das Geburtsdatum der checkout selbst hinzugefügt wird."
"Although an order is started with a certain payment method, it may still be completed with a different payment method. For example: Someone starts an order with IN3, but never completes it. When that person later receives a reminder email stating that the order is still open, he or she can complete it with iDEAL. When this option is enabled, iDEAL will be shown with the order. A note will also be placed in the order notes indicating that the payment method has changed.","Obwohl eine Bestellung mit einer bestimmten Zahlungsart gestartet wird, kann es dennoch vorkommen, dass sie mit einer anderen Zahlungsart abgeschlossen wird. Beispiel: Jemand beginnt eine Bestellung mit IN3, schließt sie jedoch nie ab. Wenn diese Person später eine Erinnerungs-E-Mail mit dem Hinweis erhält, dass die Bestellung noch offen ist, kann sie diese mit iDEAL abschließen. Wenn diese Option aktiviert ist, wird iDEAL bei der Bestellung angezeigt. Darüber hinaus wird in den Bestellnotizen ein Hinweis darauf angezeigt, dass sich die Zahlungsart geändert hat."
"Although an order is started with a certain payment method, it may still be completed with a different payment method. For example: Someone starts an order with iDEAL in3, but never completes it. When that person later receives a reminder email stating that the order is still open, he or she can complete it with iDEAL. When this option is enabled, iDEAL will be shown with the order. A note will also be placed in the order notes indicating that the payment method has changed.","Obwohl eine Bestellung mit einer bestimmten Zahlungsart gestartet wird, kann es dennoch vorkommen, dass sie mit einer anderen Zahlungsart abgeschlossen wird. Beispiel: Jemand beginnt eine Bestellung mit iDEAL in3, schließt sie jedoch nie ab. Wenn diese Person später eine Erinnerungs-E-Mail mit dem Hinweis erhält, dass die Bestellung noch offen ist, kann sie diese mit iDEAL abschließen. Wenn diese Option aktiviert ist, wird iDEAL bei der Bestellung angezeigt. Darüber hinaus wird in den Bestellnotizen ein Hinweis darauf angezeigt, dass sich die Zahlungsart geändert hat."
"Select the language in which payment screens open (such as the Credit Card screen or Transfer page). Please note: the language can also be changed from the payment screens.","Wählen Sie die Sprache aus, in der die Zahlungsbildschirme geöffnet werden (z. B. der Kreditkartenbildschirm oder die Überweisungsseite). Bitte beachten Sie: Die Sprache kann auch auf den Zahlungsbildschirmen geändert werden."
"Off - No autocapture.
On - Automatically capture payments with the status AUTHORIZE when a shipment is created in Magento (Picqer is also supported in this).
On - via Wuunder - Capture automatically via Wuunder.
On - via Sherpa - Capture automatically via Sherpa.","Aus – Keine automatische Aufnahme.
Ein – Zahlungen mit dem Status AUTORISIEREN automatisch erfassen, wenn eine Sendung in Magento erstellt wird (Picqer wird dabei auch unterstützt).
Ein – über Wuunder – Automatische Erfassung über Wuunder.
Ein – über Sherpa – Automatische Erfassung über Sherpa."
"When the store currency deviates from the base currency setting in Magento, this setting will ensure the payment starts in the base currency instead of the store currency. Example: Store currency is in Dollar, Base currency is Euro. Pay. will start payments in Euro.","When the store currency deviates from the base currency setting in Magento, this setting will ensure the payment starts in the base currency instead of the store currency. Example: Store currency is in Dollar, Base currency is Euro. Pay. will start payments in Euro. Beispiel: Die Geschäftswährung ist Dollar, die Basiswährung ist Euro. Pay. startet Zahlungen in Euro."
"When Enabled, this will add an extra field to the checkout for the customer to enter in their COC number.","Wenn aktiviert, wird ein zusätzliches Feld zur Checkout hinzugefügt, in das der Kunde seine Handelsregisternummer-Nummer eingeben kann."
"When Enabled, this will add an extra field to the checkout for the customer to enter in their VAT number.","Wenn aktiviert, wird ein zusätzliches Feld zur Checkout hinzugefügt, in das der Kunde seine USt-IdNr-Nummer eingeben kann."
"When Enabled, this will add an datepicker field to the checkout for the customer to enter in their date of birth.","Wenn aktiviert, wird der Checkout ein Datumsauswahlfeld hinzugefügt, in das der Kunde sein Geburtsdatum eingeben kann."
"Show custom COC field","Benutzerdefiniertes Handelsregisternummer-Nummer-Feld anzeigen"
"Show custom VAT field","Benutzerdefiniertes USt-IdNr-Nummer-Feld anzeigen"
"Show custom date of birth field","Benutzerdefiniertes Feld für das Geburtsdatum anzeigen"
"When the store currency deviates from the base currency setting in Magento, this setting will ensure the payment starts in the base currency instead of the store currency.","Wenn die Shopwährung von der Basiswährungseinstellung in Magento abweicht, sorgt diese Einstellung dafür, dass die Zahlung in der Basiswährung und nicht in der Shopwährung beginnt."
"Customer Type","Kundentyp"
"By default payment methods are available in the checkout for all customer types.
Private, B2C: Only show this payment method when the customer didn't enter a company name.
Business, B2B: Only show this payment method when the customer entered a company name.","Standardmäßig sind die Zahlungsmethoden in der Kasse für alle Kundentypen verfügbar.
Privat, B2C: Diese Zahlungsart wird nur angezeigt, wenn der Kunde keinen Firmennamen eingegeben hat.
Geschäftlich, B2B: Zeigen Sie diese Zahlungsmethode nur an, wenn der Kunde einen Firmennamen eingegeben hat."
"Specify which type of customer this payment method should be available to.","Geben Sie an, für welche Art von Kunden diese Zahlungsmethode verfügbar sein soll."
"Chargebacks","Rückbuchungen"
"Set to `on` to accept chargebacks initiated from Pay.","Setzen Sie diese Option auf "Ein", um von Pay initiierte Rückbuchungen zu akzeptieren."
"When this settings is enabled, chargebacks initiated by customers will refund the order in Magento.","Wenn diese Einstellung aktiviert ist, werden Rückbuchungen, die von Kunden initiiert wurden, in Magento erstattet."
"Pickup location needs to be turned on to make this setting work.
Direct checkout payment: pin transaction will be started right when the instore is selected in the checkout.
Payment takes place at the pickup location: the order is created in the Magento admin, the pin transaction can be started from there when the customer comes to pick up the order.
Provide this choice in the checkout: the customer can choose in the checkout between the options given above.","Damit diese Einstellung funktioniert, muss der Abholort aktiviert werden.
Direkte Zahlung an der Kasse: Die PIN-Transaktion wird direkt gestartet, wenn die Zahlungsmethode an der Kasse ausgewählt wird.
Die Zahlung erfolgt am Abholort: Die Bestellung wird in der Magento-Verwaltung erstellt, die PIN-Transaktion kann von dort aus gestartet werden, wenn der Kunde die Bestellung abholt.
Stellen Sie diese Auswahl an der Kasse bereit: Der Kunde kann an der Kasse zwischen den oben angegebenen Optionen wählen."
"Pay. Refund by card","Pay. Rückholstift"
"Amount","Menge"
"Terminal","Terminal"
"Refund amount must be greater than 0.00","Der Betrag muss größer als 0,00 sein"
"Refund amount must not exceed ","Der Betrag darf nicht höher sein als "
"Select a terminal","Wählen Sie ein Terminal aus"
"Determine in which country iDEAL should be available. This setting doesn't apply to fast checkout.","Legen Sie fest, in welchem Land iDEAL verfügbar sein soll. Diese Einstellung gilt nicht für Fastcheckout."
"Set the minimum order amount for iDEAL to be available. Leave blank if you don't want to set a minimum amount. This setting doesn't apply to fast checkout.","Legen Sie den Mindestbestellwert fest, damit iDEAL verfügbar ist. Lassen Sie das Feld leer, wenn Sie keinen Mindestwert festlegen möchten. Diese Einstellung gilt nicht für Fastcheckout."
"Set the maximum order amount for iDEAL to be available. Leave blank if you don't want to set a maximum amount. This setting doesn't apply to fast checkout.","Legen Sie den maximalen Bestellbetrag fest, der für iDEAL verfügbar sein soll. Lassen Sie das Feld leer, wenn Sie keinen Höchstbetrag festlegen möchten. Diese Einstellung gilt nicht für Fastcheckout."
