"Order confirmation sent","Order confirmation sent"
"You notified customer about invoice #%1","You notified customer about invoice #%1"
"Pay. - order cancelled","Pay. - order cancelled"
"Pay. - order uncancelled","Pay. - order uncancelled"
"Order cannot be un-cancelled","Order cannot be un-cancelled"
"Invalid return, no transactionId specified","Invalid return, no transactionId specified"
"Unable to retrieve transaction status","Unable to retrieve transaction status"
"Order has been placed and payment is pending", "Order has been placed and payment is pending"
"Payment cancelled","Payment cancelled"
"Payment denied","Payment denied"
"Something went wrong, please try again later","Something went wrong, please try again later"
"Enter your API token and SL-code first","Enter your API token and SL-code first"
"No","No"
"Yes","Yes"
"Not active, activate on My.pay.nl first","Not active, activate on My.pay.nl first"
"Dutch","Dutch"
"English","English"
"German","German"
"Italian","Italian"
"French","French"
"Spanish","Spanish"
"Danish","Danish"
"Polish","Polish"
"After successful payment","After successful payment"
"Before payment","Before payment"
"Choose your bank","Choose your bank"
"Select card terminal","Select card terminal"
"Notice","Notice"
"An e-mail containing a Pay. paylink will be sent to the customer","An e-mail containing a Pay. paylink will be sent to the customer"
"Valid for","Valid for"
"days","days"
"Enabled","Enabled"
"Title","Title"
"New order status","New order status"
"Accepted billing country","Accepted billing country"
"Select accepted countries","Select accepted countries"
"Payment instructions","Payment instructions"
"Minimum order total","Minimum order total"
"Maximum order total","Maximum order total"
"Sort order","Sort order"
"Send order confirmation email","Send order confirmation email"
"Advanced","Advanced"
"Payment method ID","Payment method ID"
"Only change this if you are told to do so by Pay. Support","Only change this if you are told to do so by Pay. Support"
"Show bank selection","Show bank selection"
"Set order on-hold","Set order on-hold"
"Pay. Settings","Pay. Settings"
"Test mode","Test mode"
"Select default payment option","Select default payment option"
"Order description prefix","Order description prefix"
"Prefix the order description with a custom word","Prefix the order description with a custom word."
"API token","API token"
"Token code","Token code"
"Sales location","Sales location"
"None","None"
"Language payment screen","Language payment screen"
"Never cancel order","Never cancel order"
"Payment methods","Payment methods"
"When enabled, Magento will not cancel the order when the transaction is cancelled via Pay.","When enabled, Magento will not cancel the order when the transaction is cancelled via Pay."
"Always use base currency","Always use base currency"
"Set this to Yes if you always want to process payments in the base currency of this store. Magento acts strange when trying to register a payment in another currency than the base currency.","Set this to Yes if you always want to process payments in the base currency of this store. Magento acts strange when trying to register a payment in another currency than the base currency."
"Skip fraud detection","Skip fraud detection"
