"Order confirmation sent","Nouveau courriel de commande envoyé"
"You notified customer about invoice #%1","Vous avez informé le client concernant la facture #%1"
"Pay. - order cancelled","PAY. a annulé la commande"
"Pay. - order uncancelled","PAY. - Annulation de commande annulée"
"Order cannot be un-cancelled","Nous ne pouvons pas annuler cette annulation de commande."
"Invalid return, no transactionId specified","Retour invalide, aucun transactionId spécifié"
"Unable to retrieve transaction status","Une erreur s'est produite lors de la vérification du statut de la transaction"
"Order has been placed and the payment is pending.","La commande a été effectuée et le paiement est en attente."
"Payment cancelled","Paiement annulé"
"Payment denied","Paiement refusé"
"Something went wrong, please try again later","Quelque chose s'est mal passé, veuillez réessayer plus tard"
"Enter your API-token and ServiceId first","Entrez d'abord votre jeton API et votre ID de service"
"No","Non"
"Yes","Oui"
"Payment method not activated, please activate on My.pay.nl first","Non disponible, vous pouvez l'activer sur My.pay.nl"
"Dutch","Néerlandais"
"English","Anglais"
"German","Allemand"
"Italian","Italien"
"French","Français"
"Spanish","Espagnol"
"After successful payment","Après un paiement réussi"
"Before payment","Avant le paiement"
"Choose your bank","Choisissez votre banque"
"Select card terminal","Choisissez le terminal PIN"
"Notice","Remarque"
"An e-mail containing a Pay. paylink will be sent to the customer","Un courriel contenant un lien de paiement PAY. sera envoyé."
"Valid for","Valable pour"
"days","jours"
"Enabled","Activé"
"Title","Titre"
"New order status","Nouveau statut de commande"
"Accepted billing country","Pays de paiement applicables"
"Select accepted countries","Paiement à partir de pays spécifiques"
"Payment instructions","Instructions"
"Minimum order total","Total minimum de la commande"
"Maximum order total","Total maximum de la commande"
"Sort order","Ordre de tri"
"Send order confirmation email","Envoyer un nouvel e-mail de commande"
"Advanced","Avancé"
"Payment method ID","ID de l'option de paiement"
"Show bank selection","Afficher la sélection de la banque"
"Pay. Settings","Paramètres PAY."
"Only change this if you are told to do so by Pay. Support","L'identifiant de la méthode de paiement, ne le changez que si on vous le demande"
"Test mode","Mode de test"
"API-token","Jeton API"
"Set order on-hold","Mettre la commande en attente"
"ServiceId","ID de service"
"Language payment screen","Langue de l'écran de paiement"
"Never cancel order","Ne jamais annuler la commande"
"Payment methods","Méthodes de paiement"
"This setting will disable cancelling the order when the payment is cancelled.
                    This can be used if uncancelling the order in case of a second chance payment produces errors. WARNING! Orders will never be cancelled automatically","Cela peut être utilisé si la désactivation de l'annulation de la commande en cas de paiement de deuxième chance produit des erreurs. AVERTISSEMENT ! Les commandes ne seront jamais annulées automatiquement."
"Always use base currency","Toujours utiliser la devise de base"
"Set this to yes if you always want to process payments in the base currency of this store. Magento acts strange when trying to register a payment in another currency than the base currency. The base currency MUST be EUR","Définissez cette option sur oui si vous souhaitez toujours traiter les paiements dans la devise de base de ce magasin. Magento réagit de manière étrange lorsqu'il essaie d'enregistrer un paiement dans une autre devise que la devise de base. La devise de base DOIT être l'EUR"
"Skip fraud detection","Ignorer la détection de fraude"
" Sometimes Magento incorrectly marks an order as fraudulent. This happens more often when using different currencies. Set this setting to Yes to skip fraud detection.","Parfois, Magento marque incorrectement une commande comme frauduleuse. Cela se produit plus souvent lorsque vous utilisez différentes devises. Définissez cette option sur oui pour ignorer la détection de fraude."
"Retrieve your AT-code <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>. Not registered with Pay? Sign up <a target='_blank' href='https://signup.pay.nl/'>here</a>!", "Obtenez votre code AT <a target='_blank' href='https://my.pay.nl/company/tokens'>ici</a>. Pas encore enregistré chez PAY ? Inscrivez-vous <a target='_blank' href='https://www.signup.pay.nl'>ici</a> !"
"Your API-token, you can find your tokens <a target='_blank' href='https://my.pay.nl/company/tokens'>here</a>", "Votre jeton API, vous pouvez trouver vos jetons <a target='_blank' href='https://my.pay.nl/company/tokens'>ici</a>"
"The SL-code of your service, you can find your services <a target='_blank' href='https://my.pay.nl/programs/programs'>here</a>", "Le code SL de votre service, vous pouvez trouver vos services <a target='_blank' href='https://my.pay.nl/programs/programs'>ici</a>"
"URL of the payment option icons. Default URL: https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png","URL des icônes des options de paiement. URL par défaut : https://static.pay.nl/payment_profiles/50x32/#paymentOptionId#.png"
"Send discount tax","Envoyer la taxe de réduction"
"Set this to No if you have a mix of low and high VAT rate products. Some Buy Now Pay Later payment methods have trouble processing payments when the discount has a tax amount other than the default VAT categories.","Réglez cette option sur NON si vous avez un mélange de produits à taux de TVA bas et élevé. Certaines méthodes de paiement différé posent problème lorsque la réduction a un montant de taxe autre que les catégories de TVA par défaut."
"Paylink is only available for orders created via the backend and won't appear in the checkout","Le lien de paiement n'est disponible que pour les commandes en attente et n'apparaîtra pas à la caisse"
"Thank you for your order from ","Merci pour votre commande de "
"If you have questions about your order, you can email us at ","Si vous avez des questions concernant votre commande, vous pouvez nous envoyer un e-mail à"
"In order to pay for your order click the link below","Cliquez sur le lien ci-dessous pour payer votre commande"
"Pay. paylink","PAY. lien de paiement"
"Order Paylink","Lien de paiement de la commande"
"A Pay. Paylink has been sent to","Un e-mail contenant un PAY. lien de paiement sera envoyé à"
"Billing Info","Adresse de facturation"
"Shipping Info","Adresse de livraison"
"Payment Method","Méthode de paiement"
"Shipping Method","Méthode d'expédition"
"Your Order","Votre commande"
"Placed on","Passée le"
"Qty","Quantité"
"Items","Articles"
"Price","Prix"
"Subtotal","Sous-total"
"Shipping & Handling","Livraison et manutention"
"Grand Total","Total"
"Offline refund","Remboursement hors ligne"
"This will create an offline refund that is not processed in Pay. To create an online refund (processed via Pay.), open an invoice and create a credit memo. Do you want to continue?","Ceci créera un remboursement hors ligne. Pour créer un remboursement en ligne, ouvrez une facture et créez une note de crédit. Voulez-vous continuer?"
